id_aluno,ano_ref,fase,idade,defasagem,ida,ieg,iaa,ips,ipp,ipv,ian,matematica,portugues,ingles,risco_defasagem_futuro
119,2022,4,14,0,5.4,8.2,8.3,5.6,,7.875,10.0,5.7,7.0,3.4,0
119,2023,7,15,2,,,6.7,2.52,,,10.0,,,,1
120,2022,4,15,-1,6.2,5.9,8.3,7.5,,7.667,5.0,3.7,5.2,9.7,1
121,2022,4,16,-2,7.2,8.4,7.1,6.3,,7.625,5.0,5.7,6.8,9.0,1
121,2023,5,17,-1,6.0,8.8,6.3,5.0,7.34375,7.4625,5.0,5.0,5.7,7.3,1
122,2022,4,14,0,1.8,3.4,7.9,7.5,,4.958,10.0,1.7,3.7,0.0,1
123,2022,4,16,-2,6.5,8.6,7.9,5.6,,7.292,5.0,7.3,6.3,5.9,1
123,2023,5,17,-2,5.7,9.4,0.0,5.0,6.875,6.8375,5.0,5.0,5.3,6.7,1
124,2022,4,14,0,6.7,7.8,7.9,5.0,,7.167,10.0,5.7,7.0,7.5,1
125,2022,4,15,-1,7.1,8.5,8.8,7.5,,7.75,5.0,5.0,7.2,9.2,1
125,2023,5,16,-1,5.8,7.7,9.2,5.0,8.125,7.835,5.0,3.3,5.8,8.2,1
126,2022,4,15,-1,4.4,5.8,7.1,7.5,,7.417,5.0,4.0,5.0,4.2,1
127,2022,4,14,0,7.9,8.7,7.5,7.5,,8.125,10.0,7.7,7.7,8.3,1
127,2023,5,15,0,6.4,7.8,8.8,6.26,8.4375,8.6725,10.0,4.7,6.3,8.2,0
128,2022,4,15,-1,5.6,6.2,0.0,7.5,,6.167,5.0,6.7,6.8,3.2,0
128,2023,5,16,-1,5.7,7.3,6.7,5.0,7.34375,7.5475,5.0,6.3,4.0,6.7,1
129,2022,4,15,-1,6.7,6.4,6.7,7.5,,7.792,5.0,6.0,5.3,8.7,1
130,2022,4,16,-2,4.1,4.7,8.3,5.0,,6.5,5.0,3.7,5.2,3.5,1
131,2022,4,15,-1,5.6,9.0,8.8,5.6,,7.75,5.0,6.0,6.5,4.2,1
131,2023,5,16,-1,2.2,7.8,8.3,5.0,7.65625,6.8,5.0,0.0,3.0,3.5,1
132,2022,4,14,0,7.7,8.8,10.0,5.6,,8.458,10.0,6.5,7.5,9.1,1
132,2023,5,15,0,6.5,8.7,7.5,2.52,7.65625,7.715,10.0,6.3,6.5,6.7,1
